epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.969,0.92496,1.46821,0.86737,1,0.21943,0.63931,0.51613,0.83064,2.16602,0.82475,0.000653333,0.000653333,0.000653333
2,557.323,0.81642,0.70589,0.84996,0.85496,0.67236,0.77474,0.58016,0.78113,1.02685,0.81988,0.00125466,0.00125466,0.00125466
3,708.331,0.76265,0.61957,0.83895,0.80749,0.76206,0.83927,0.58669,0.88324,0.81629,0.83781,0.00178999,0.00178999,0.00178999
4,873.831,0.77552,0.60279,0.84472,0.80635,0.76295,0.83843,0.61029,0.77614,0.74103,0.82281,0.001703,0.001703,0.001703
5,1033.66,0.73765,0.56009,0.83669,0.91896,0.70186,0.84462,0.62952,0.76027,0.63005,0.81939,0.001604,0.001604,0.001604
6,1190.54,0.65543,0.50707,0.82758,0.79064,0.79814,0.84065,0.64948,0.63954,0.58357,0.80554,0.001505,0.001505,0.001505
7,1353.88,0.60225,0.48238,0.81971,0.76915,0.82453,0.84394,0.63962,0.66189,0.60386,0.80516,0.001406,0.001406,0.001406
8,1475.7,0.59876,0.4599,0.81525,0.88514,0.72992,0.83721,0.65627,0.64359,0.57138,0.80454,0.001307,0.001307,0.001307
9,1579.78,0.57695,0.44202,0.81602,0.82693,0.8013,0.85589,0.66823,0.62288,0.55681,0.80146,0.001208,0.001208,0.001208
10,1691.11,0.54051,0.41584,0.81077,0.83524,0.80124,0.86448,0.66449,0.60677,0.53083,0.80165,0.001109,0.001109,0.001109
11,1792.07,0.50792,0.42603,0.79456,0.88224,0.74451,0.85394,0.66314,0.6253,0.52273,0.8045,0.00101,0.00101,0.00101
12,1894.68,0.51927,0.42624,0.79223,0.81711,0.80474,0.86687,0.6711,0.59748,0.54939,0.80147,0.000911,0.000911,0.000911
13,2002.44,0.48993,0.39767,0.79174,0.83912,0.79374,0.85986,0.67543,0.58319,0.50829,0.79684,0.000812,0.000812,0.000812
14,2133.62,0.47831,0.38179,0.79176,0.82379,0.79969,0.85636,0.67698,0.56888,0.4924,0.79677,0.000713,0.000713,0.000713
15,2294.96,0.46265,0.36995,0.78608,0.83108,0.80219,0.86665,0.67123,0.57795,0.49288,0.79662,0.000614,0.000614,0.000614
16,2440.53,0.45159,0.35338,0.78574,0.82824,0.79372,0.85476,0.67926,0.54015,0.47209,0.79588,0.000515,0.000515,0.000515
17,2620.05,0.44868,0.34787,0.78786,0.83464,0.79159,0.86712,0.68645,0.55868,0.46545,0.79571,0.000416,0.000416,0.000416
18,2762.66,0.42764,0.33417,0.78241,0.83494,0.78544,0.86311,0.68805,0.5427,0.46799,0.79408,0.000317,0.000317,0.000317
19,2902.7,0.41816,0.32471,0.78211,0.8319,0.79658,0.86669,0.69237,0.53541,0.46809,0.79288,0.000218,0.000218,0.000218
20,3041.02,0.4146,0.319,0.78898,0.83111,0.79814,0.87105,0.69703,0.5215,0.45544,0.79066,0.000119,0.000119,0.000119
